experiment,method,model,trial,regret_mean,nregret_mean,n_tasks
meta_only,ridge,ridge,32,0.0015375913466965806,0.006209231295862331,72
meta_only,ridge,ridge,33,0.0014749087783859514,0.005963140505000091,72
meta_only,ridge,ridge,34,0.0014229794103237088,0.005802113168064317,72
meta_only,ridge,ridge,35,0.0014229794103237088,0.005802113168064317,72
meta_only,ridge,ridge,36,0.0014229794103237088,0.005802113168064317,72
meta_only,ridge,ridge,37,0.0014229794103237088,0.005802113168064317,72
meta_only,ridge,ridge,38,0.0014229794103237088,0.005802113168064317,72
meta_only,ridge,ridge,39,0.0012114578063559087,0.005480344448560998,72
meta_only,ridge,ridge,40,0.0011906244730225746,0.005449388529789327,72
meta_only,ridge,ridge,41,0.0011906244730225746,0.005449388529789327,72
meta_only,ridge,ridge,42,0.0011906244730225746,0.005449388529789327,72
meta_only,ridge,ridge,43,0.0011289785809074854,0.004917322675927798,72
meta_only,ridge,ridge,44,0.0011289785809074854,0.004917322675927798,72
meta_only,ridge,ridge,45,0.0011045692858479268,0.004875739176260466,72
meta_only,ridge,ridge,46,0.0010689842053297576,0.0047990852358252446,72
meta_only,ridge,ridge,47,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,48,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,49,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,50,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,51,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,52,0.0010512528514602922,0.004717056898763349,72
meta_only,ridge,ridge,53,0.0008613409705730238,0.0043534734199966235,72
meta_only,ridge,ridge,54,0.0008613409705730238,0.0043534734199966235,72
meta_only,ridge,ridge,55,0.0008449238442268186,0.004327753255387569,72
meta_only,ridge,ridge,56,0.0007156050008593653,0.0036022413932251893,72
meta_only,ridge,ridge,57,0.0007101239870910594,0.003582024669951699,72
meta_only,ridge,ridge,58,0.0007029987394887042,0.0035744402937666394,72
meta_only,ridge,ridge,59,0.00033424411206242003,0.0008441442865398986,72
meta_only,ridge,ridge,60,0.0003317188595371661,0.0008414161606532561,72
meta_only,ridge,ridge,61,0.00030556275993473856,0.000811526155870855,72
meta_only,ridge,ridge,62,0.00030556275993473856,0.000811526155870855,72
meta_only,ridge,ridge,63,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,64,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,65,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,66,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,67,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,68,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,69,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,70,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,71,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,72,0.00029908271846247305,0.0008037292496832301,72
meta_only,ridge,ridge,73,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,74,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,75,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,76,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,77,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,78,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,79,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,80,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,81,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,82,0.00023478230693983903,0.0007284914983891405,72
meta_only,ridge,ridge,83,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,84,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,85,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,86,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,87,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,88,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,89,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,90,0.00015427123608637786,0.0004848395734378765,72
meta_only,ridge,ridge,91,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,92,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,93,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,94,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,95,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,96,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,97,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,98,0.00010662496202501019,0.00021774626003201594,72
meta_only,ridge,ridge,99,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,100,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,101,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,102,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,103,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,104,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,105,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,106,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,107,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,108,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,109,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,110,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,111,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,112,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,113,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,114,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,115,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,116,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,117,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,118,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,119,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,120,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,121,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,122,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,123,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,124,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,125,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,126,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,127,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,128,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,129,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,130,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,131,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,132,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,133,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,134,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,135,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,136,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,137,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,138,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,139,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,140,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,141,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,142,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,143,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,144,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,145,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,146,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,147,0.00010227107836078182,0.0002097824541713462,72
meta_only,ridge,ridge,148,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,149,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,150,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,151,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,152,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,153,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,154,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,155,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,156,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,157,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,158,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,159,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,160,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,161,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,162,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,163,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,164,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,165,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,166,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,167,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,168,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,169,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,170,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,171,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,172,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,173,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,174,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,175,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,176,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,177,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,178,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,179,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,180,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,181,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,182,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,183,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,184,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,185,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,186,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,187,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,188,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,189,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,190,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,191,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,192,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,193,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,194,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,195,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,196,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,197,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,198,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,199,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,200,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,201,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,202,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,203,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,204,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,205,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,206,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,207,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,208,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,209,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,210,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,211,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,212,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,213,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,214,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,215,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,216,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,217,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,218,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,219,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,220,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,221,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,222,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,223,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,224,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,225,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,226,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,227,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,228,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,229,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,230,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,231,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,232,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,233,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,234,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,235,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,236,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,237,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,238,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,239,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,240,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,241,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,242,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,243,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,244,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,245,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,246,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,247,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,248,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,249,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,250,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,251,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,252,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,253,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,254,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,255,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,256,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,257,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,258,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,259,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,260,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,261,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,262,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,263,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,264,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,265,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,266,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,267,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,268,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,269,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,270,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,271,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,272,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,273,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,274,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,275,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,276,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,277,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,278,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,279,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,280,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,281,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,282,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,283,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,284,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,285,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,286,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,287,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,288,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,289,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,290,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,291,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,292,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,293,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,294,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,295,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,296,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,297,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,298,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,299,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,300,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,301,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,302,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,303,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,304,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,305,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,306,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,307,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,308,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,309,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,310,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,311,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,312,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,313,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,314,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,315,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,316,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,317,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,318,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,319,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,320,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,321,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,322,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,323,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,324,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,325,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,326,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,327,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,328,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,329,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,330,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,331,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,332,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,333,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,334,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,335,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,336,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,337,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,338,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,339,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,340,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,341,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,342,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,343,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,344,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,345,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,346,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,347,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,348,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,349,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,350,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,351,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,352,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,353,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,354,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,355,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,356,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,357,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,358,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,359,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,360,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,361,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,362,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,363,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,364,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,365,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,366,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,367,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,368,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,369,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,370,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,371,9.284209744503853e-05,0.00016301851851851837,72
meta_only,ridge,ridge,372,9.284209744503853e-05,0.00016301851851851837,72
